 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 05/04/2009   17:02:29
 ---------------------------------------------------------------------------------------------------------------------------------- 

17:02:29  |  General  |  Info  |  * Initialise: ClipboardManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_clipboardmanager.cpp  |  35
17:02:29  |  General  |  Info  |  ClipboardManager successfully initialized  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_clipboardmanager.cpp  |  44
17:02:29  |  General  |  Info  |  * Initialise: LayoutManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layoutmanager.cpp  |  41
17:02:29  |  General  |  Info  |  LayoutManager successfully initialized  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layoutmanager.cpp  |  47
17:02:29  |  General  |  Info  |  * Initialise: DynLibManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_dynlibmanager.cpp  |  34
17:02:29  |  General  |  Info  |  DynLibManager successfully initialized  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_dynlibmanager.cpp  |  36
17:02:29  |  General  |  Info  |  * Initialise: PluginManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_pluginmanager.cpp  |  36
17:02:29  |  General  |  Info  |  PluginManager successfully initialized  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_pluginmanager.cpp  |  40
17:02:29  |  General  |  Info  |  * Initialise: LanguageManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_languagemanager.cpp  |  37
17:02:29  |  General  |  Info  |  LanguageManager successfully initialized  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_languagemanager.cpp  |  44
17:02:29  |  General  |  Info  |  Load ini file 'core_keyboard.xml' from resource group : General  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_resourcemanager.cpp  |  171
17:02:29  |  General  |  Info  |  Load ini file 'core_language.xml' from resource group : General  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_resourcemanager.cpp  |  171
17:02:29  |  General  |  Info  |  Load ini file 'core_layer.xml' from resource group : General  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_resourcemanager.cpp  |  171
17:02:29  |  General  |  Info  |  Load ini file 'core_font.xml' from resource group : General  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_resourcemanager.cpp  |  171
17:02:29  |  General  |  Info  |  Load ini file 'core_theme.xml' from resource group : General  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_resourcemanager.cpp  |  171
17:02:29  |  General  |  Info  |  Load ini file 'core_resource.xml' from resource group : General  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_resourcemanager.cpp  |  171
17:02:29  |  General  |  Info  |  Load ini file 'core_skin.xml' from resource group : General  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_resourcemanager.cpp  |  171
17:02:29  |  General  |  Info  |  Register value : 'HCenter' = 0  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\include\mygui_align.h  |  164
17:02:29  |  General  |  Info  |  Register value : 'VCenter' = 0  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\include\mygui_align.h  |  165
